Country,Date,full[%]
Slovakia,2018-04-23,8.82
Spain,2018-04-23,59.47
Sweden,2018-04-23,7.31
United Kingdom (Pre-Brexit),2018-04-23,26.35
Austria,2018-04-24,20.52
Belgium,2018-04-24,0.07
Bulgaria,2018-04-24,29.45
Croatia,2018-04-24,27.41
Czech Republic,2018-04-24,25.81
Denmark,2018-04-24,13.67
France,2018-04-24,7.52
Germany,2018-04-24,19.31
Hungary,2018-04-24,24.12
Ireland,2018-04-24,-
Italy,2018-04-24,40.34
Latvia,2018-04-24,12.84
Netherlands,2018-04-24,15.35
Poland,2018-04-24,39.21
Portugal,2018-04-24,55.65
Romania,2018-04-24,18.94
Slovakia,2018-04-24,8.87
Spain,2018-04-24,59.47
Sweden,2018-04-24,7.31
United Kingdom (Pre-Brexit),2018-04-24,26.18
Austria,2018-04-25,21.02
Belgium,2018-04-25,0.07
Bulgaria,2018-04-25,29.77
Croatia,2018-04-25,27.66
Czech Republic,2018-04-25,26.11
Denmark,2018-04-25,14.28
France,2018-04-25,7.97
Germany,2018-04-25,19.65
Hungary,2018-04-25,24.38
Ireland,2018-04-25,-
Italy,2018-04-25,40.77
Latvia,2018-04-25,12.76
Netherlands,2018-04-25,15.62
Poland,2018-04-25,39.47
Portugal,2018-04-25,55.65
Romania,2018-04-25,19.27
Slovakia,2018-04-25,8.92
Spain,2018-04-25,59.47
Sweden,2018-04-25,7.31
United Kingdom (Pre-Brexit),2018-04-25,26.69
Austria,2018-04-26,21.48
Belgium,2018-04-26,0.07
Bulgaria,2018-04-26,30.07
Croatia,2018-04-26,27.95
Czech Republic,2018-04-26,26.35
Denmark,2018-04-26,13.73
France,2018-04-26,8.43
Germany,2018-04-26,19.96
Hungary,2018-04-26,24.62
Ireland,2018-04-26,-
Italy,2018-04-26,41.14
Latvia,2018-04-26,12.68
Netherlands,2018-04-26,16.11
Poland,2018-04-26,39.72
Portugal,2018-04-26,55.65
Romania,2018-04-26,19.65
Slovakia,2018-04-26,8.95
Spain,2018-04-26,59.53
Sweden,2018-04-26,7.31
United Kingdom (Pre-Brexit),2018-04-26,27.4
Austria,2018-04-27,21.97
Belgium,2018-04-27,0.06
Bulgaria,2018-04-27,30.38
Croatia,2018-04-27,28.2
Czech Republic,2018-04-27,26.59
Denmark,2018-04-27,13.91
France,2018-04-27,8.91
Germany,2018-04-27,20.17
Hungary,2018-04-27,24.86
Ireland,2018-04-27,-
Italy,2018-04-27,41.6
Latvia,2018-04-27,12.64
Netherlands,2018-04-27,16.55
Poland,2018-04-27,39.98
Portugal,2018-04-27,55.65
Romania,2018-04-27,20
Slovakia,2018-04-27,9.21
Spain,2018-04-27,59.62
Sweden,2018-04-27,7.31
United Kingdom (Pre-Brexit),2018-04-27,24.98
Austria,2018-04-28,22.43
Belgium,2018-04-28,0.28
Bulgaria,2018-04-28,30.69
Croatia,2018-04-28,28.51
Czech Republic,2018-04-28,26.88
Denmark,2018-04-28,14.06
France,2018-04-28,9.4
Germany,2018-04-28,20.56
Hungary,2018-04-28,25.11
Ireland,2018-04-28,-
Italy,2018-04-28,42.15
Latvia,2018-04-28,12.64
Netherlands,2018-04-28,17.04
Poland,2018-04-28,40.32
Portugal,2018-04-28,55.65
Romania,2018-04-28,20.39
Slovakia,2018-04-28,9.52
Spain,2018-04-28,59.71
Sweden,2018-04-28,7.31
United Kingdom (Pre-Brexit),2018-04-28,24.17
Austria,2018-04-29,22.92
Belgium,2018-04-29,0.28
Bulgaria,2018-04-29,31
Croatia,2018-04-29,28.84
Czech Republic,2018-04-29,27.15
Denmark,2018-04-29,14.22
France,2018-04-29,9.85
Germany,2018-04-29,21.01
Hungary,2018-04-29,25.37
Ireland,2018-04-29,-
Italy,2018-04-29,42.71
Latvia,2018-04-29,12.61
Netherlands,2018-04-29,17.54
Poland,2018-04-29,40.66
Portugal,2018-04-29,55.65
Romania,2018-04-29,20.83
Slovakia,2018-04-29,9.86
Spain,2018-04-29,59.8
Sweden,2018-04-29,7.31
United Kingdom (Pre-Brexit),2018-04-29,23.58
Austria,2018-04-30,23.36
Belgium,2018-04-30,0.2
Bulgaria,2018-04-30,31.31
Croatia,2018-04-30,29.13
Czech Republic,2018-04-30,27.42
Denmark,2018-04-30,14.32
France,2018-04-30,10.15
Germany,2018-04-30,21.35
Hungary,2018-04-30,25.64
Ireland,2018-04-30,-
Italy,2018-04-30,43.16
Latvia,2018-04-30,12.53
Netherlands,2018-04-30,17.91
Poland,2018-04-30,40.97
Portugal,2018-04-30,55.65
Romania,2018-04-30,20.85
Slovakia,2018-04-30,10.22
Spain,2018-04-30,59.87
Sweden,2018-04-30,7.31
United Kingdom (Pre-Brexit),2018-04-30,19.31
Austria,2018-05-01,23.78
Belgium,2018-05-01,0.28
Bulgaria,2018-05-01,31.6
Croatia,2018-05-01,29.42
Czech Republic,2018-05-01,27.72
Denmark,2018-05-01,15.13
France,2018-05-01,10.55
Germany,2018-05-01,21.61
Hungary,2018-05-01,25.92
Ireland,2018-05-01,-
Italy,2018-05-01,43.69
Latvia,2018-05-01,12.49
Netherlands,2018-05-01,18.29
Poland,2018-05-01,41.36
Portugal,2018-05-01,55.65
Romania,2018-05-01,21.24
Slovakia,2018-05-01,13.42
Spain,2018-05-01,59.93
Sweden,2018-05-01,7.31
United Kingdom (Pre-Brexit),2018-05-01,18.32
Austria,2018-05-02,23.79
Belgium,2018-05-02,0.33
Bulgaria,2018-05-02,31.89
Croatia,2018-05-02,29.68
Czech Republic,2018-05-02,28
Denmark,2018-05-02,15.1
France,2018-05-02,10.94
Germany,2018-05-02,21.79
Hungary,2018-05-02,26.18
Ireland,2018-05-02,-
Italy,2018-05-02,44.03
Latvia,2018-05-02,12.49
Netherlands,2018-05-02,18.64
Poland,2018-05-02,41.79
Portugal,2018-05-02,55.65
Romania,2018-05-02,21.54
Slovakia,2018-05-02,13.45
Spain,2018-05-02,59.99
Sweden,2018-05-02,7.31
United Kingdom (Pre-Brexit),2018-05-02,14.72
Austria,2018-05-03,23.83
Belgium,2018-05-03,0.36
Bulgaria,2018-05-03,32.18
Croatia,2018-05-03,29.93
Czech Republic,2018-05-03,28.25
Denmark,2018-05-03,15.12
France,2018-05-03,11.31
Germany,2018-05-03,22.01
Hungary,2018-05-03,26.43
Ireland,2018-05-03,-
Italy,2018-05-03,44.34
Latvia,2018-05-03,12.49
Netherlands,2018-05-03,19.43
Poland,2018-05-03,42.21
Portugal,2018-05-03,55.65
Romania,2018-05-03,21.82
Slovakia,2018-05-03,13.35
Spain,2018-05-03,60.07
Sweden,2018-05-03,7.31
United Kingdom (Pre-Brexit),2018-05-03,11.16
Austria,2018-05-04,23.85
Belgium,2018-05-04,0.42
Bulgaria,2018-05-04,32.47
Croatia,2018-05-04,30.18
Czech Republic,2018-05-04,28.59
Denmark,2018-05-04,15.15
France,2018-05-04,11.75
Germany,2018-05-04,22.27
Hungary,2018-05-04,26.7
Ireland,2018-05-04,-
Italy,2018-05-04,44.72
Latvia,2018-05-04,12.49
Netherlands,2018-05-04,19.41
Poland,2018-05-04,42.59
Portugal,2018-05-04,55.65
Romania,2018-05-04,22.11
Slovakia,2018-05-04,13.34
Spain,2018-05-04,60.14
Sweden,2018-05-04,7.31
United Kingdom (Pre-Brexit),2018-05-04,9.74
Austria,2018-05-05,23.93
Belgium,2018-05-05,0.79
Bulgaria,2018-05-05,32.77
Croatia,2018-05-05,30.5
Czech Republic,2018-05-05,29.01
Denmark,2018-05-05,15.44
France,2018-05-05,12.31
Germany,2018-05-05,22.67
Hungary,2018-05-05,27.01
Ireland,2018-05-05,-
Italy,2018-05-05,45.21
Latvia,2018-05-05,12.49
Netherlands,2018-05-05,19.92
Poland,2018-05-05,42.85
Portugal,2018-05-05,55.65
Romania,2018-05-05,22.46
Slovakia,2018-05-05,13.46
Spain,2018-05-05,60.22
Sweden,2018-05-05,7.31
United Kingdom (Pre-Brexit),2018-05-05,11.18
Austria,2018-05-06,24.05
Belgium,2018-05-06,1.33
Bulgaria,2018-05-06,33.07
Croatia,2018-05-06,30.84
Czech Republic,2018-05-06,29.42
Denmark,2018-05-06,15.72
France,2018-05-06,12.9
Germany,2018-05-06,23.15
Hungary,2018-05-06,27.3
Ireland,2018-05-06,-
Italy,2018-05-06,45.74
Latvia,2018-05-06,12.49
Netherlands,2018-05-06,20.16
Poland,2018-05-06,43.12
Portugal,2018-05-06,55.65
Romania,2018-05-06,22.86
Slovakia,2018-05-06,13.58
Spain,2018-05-06,60.3
Sweden,2018-05-06,7.31
United Kingdom (Pre-Brexit),2018-05-06,12.73
Austria,2018-05-07,24.28
Belgium,2018-05-07,1.66
Bulgaria,2018-05-07,33.37
Croatia,2018-05-07,31.23
Czech Republic,2018-05-07,29.83
Denmark,2018-05-07,15.99
France,2018-05-07,13.46
Germany,2018-05-07,23.63
Hungary,2018-05-07,27.52
Ireland,2018-05-07,-
Italy,2018-05-07,46.16
Latvia,2018-05-07,12.49
Netherlands,2018-05-07,20.88
Poland,2018-05-07,43.45
Portugal,2018-05-07,55.65
Romania,2018-05-07,23.24
Slovakia,2018-05-07,13.7
Spain,2018-05-07,60.32
Sweden,2018-05-07,7.31
United Kingdom (Pre-Brexit),2018-05-07,14.33
Austria,2018-05-08,24.62
Belgium,2018-05-08,1.93
Bulgaria,2018-05-08,33.66
Croatia,2018-05-08,31.67
Czech Republic,2018-05-08,30.22
Denmark,2018-05-08,16.35
France,2018-05-08,13.98
Germany,2018-05-08,24.16
Hungary,2018-05-08,27.76
Ireland,2018-05-08,-
Italy,2018-05-08,46.59
Latvia,2018-05-08,12.49
Netherlands,2018-05-08,21.38
Poland,2018-05-08,43.79
Portugal,2018-05-08,55.65
Romania,2018-05-08,23.59
Slovakia,2018-05-08,13.83
Spain,2018-05-08,60.33
Sweden,2018-05-08,7.31
United Kingdom (Pre-Brexit),2018-05-08,15.55
Austria,2018-05-09,24.92
Belgium,2018-05-09,1.9
Bulgaria,2018-05-09,33.95
Croatia,2018-05-09,32.1
Czech Republic,2018-05-09,30.63
Denmark,2018-05-09,16.77
France,2018-05-09,14.43
Germany,2018-05-09,24.69
Hungary,2018-05-09,27.98
Ireland,2018-05-09,-
Italy,2018-05-09,47.05
Latvia,2018-05-09,12.49
Netherlands,2018-05-09,21.79
Poland,2018-05-09,44.19
Portugal,2018-05-09,55.65
Romania,2018-05-09,23.94
Slovakia,2018-05-09,14.01
Spain,2018-05-09,60.35
Sweden,2018-05-09,7.31
United Kingdom (Pre-Brexit),2018-05-09,16.46
Austria,2018-05-10,25.26
Belgium,2018-05-10,2.46
Bulgaria,2018-05-10,34.25
Croatia,2018-05-10,32.42
Czech Republic,2018-05-10,31.07
Denmark,2018-05-10,17.19
France,2018-05-10,15
Germany,2018-05-10,25.28
Hungary,2018-05-10,28.21
Ireland,2018-05-10,-
Italy,2018-05-10,47.5
Latvia,2018-05-10,12.49
Netherlands,2018-05-10,22.21
Poland,2018-05-10,44.61
Portugal,2018-05-10,55.65
Romania,2018-05-10,24.3
Slovakia,2018-05-10,14.19
Spain,2018-05-10,60.36
Sweden,2018-05-10,7.31
United Kingdom (Pre-Brexit),2018-05-10,16.94
Austria,2018-05-11,25.51
Belgium,2018-05-11,3
Bulgaria,2018-05-11,34.55
Croatia,2018-05-11,32.74
Czech Republic,2018-05-11,31.46
Denmark,2018-05-11,17.6
France,2018-05-11,15.56
Germany,2018-05-11,25.87
Hungary,2018-05-11,28.54
Ireland,2018-05-11,-
Italy,2018-05-11,47.99
Latvia,2018-05-11,12.49
Netherlands,2018-05-11,22.67
Poland,2018-05-11,45.06
Portugal,2018-05-11,54.71
Romania,2018-05-11,24.63
Slovakia,2018-05-11,14.5
Spain,2018-05-11,60.42
Sweden,2018-05-11,7.31
United Kingdom (Pre-Brexit),2018-05-11,18.29
Austria,2018-05-12,25.82
Belgium,2018-05-12,3.63
Bulgaria,2018-05-12,34.86
Croatia,2018-05-12,33.09
Czech Republic,2018-05-12,31.89
Denmark,2018-05-12,17.95
France,2018-05-12,16.17
Germany,2018-05-12,26.55
Hungary,2018-05-12,28.87
Ireland,2018-05-12,-
Italy,2018-05-12,48.53
Latvia,2018-05-12,12.49
Netherlands,2018-05-12,23.11
Poland,2018-05-12,45.51
Portugal,2018-05-12,54.71
Romania,2018-05-12,25.02
Slovakia,2018-05-12,14.86
Spain,2018-05-12,60.5
Sweden,2018-05-12,7.31
United Kingdom (Pre-Brexit),2018-05-12,17.68
Austria,2018-05-13,26.08
Belgium,2018-05-13,4.02
Bulgaria,2018-05-13,35.16
Croatia,2018-05-13,33.38
Czech Republic,2018-05-13,32.3
Denmark,2018-05-13,18.39
France,2018-05-13,16.67
Germany,2018-05-13,27.25
Hungary,2018-05-13,29.19
Ireland,2018-05-13,-
Italy,2018-05-13,48.55
Latvia,2018-05-13,12.49
Netherlands,2018-05-13,23.53
Poland,2018-05-13,45.96
Portugal,2018-05-13,55.27
Romania,2018-05-13,25.42
Slovakia,2018-05-13,15.24
Spain,2018-05-13,60.58
Sweden,2018-05-13,7.31
United Kingdom (Pre-Brexit),2018-05-13,17.86
Austria,2018-05-14,26.34
Belgium,2018-05-14,4.44
Bulgaria,2018-05-14,35.46
Croatia,2018-05-14,33.67
Czech Republic,2018-05-14,32.61
Denmark,2018-05-14,18.63
France,2018-05-14,17.08
Germany,2018-05-14,27.79
Hungary,2018-05-14,29.46
Ireland,2018-05-14,-
Italy,2018-05-14,49.58
Latvia,2018-05-14,12.49
Netherlands,2018-05-14,23.89
Poland,2018-05-14,46.41
Portugal,2018-05-14,55.27
Romania,2018-05-14,25.8
Slovakia,2018-05-14,15.63
Spain,2018-05-14,60.61
Sweden,2018-05-14,7.31
United Kingdom (Pre-Brexit),2018-05-14,16.51
Austria,2018-05-15,26.52
Belgium,2018-05-15,4.95
Bulgaria,2018-05-15,35.76
Croatia,2018-05-15,33.95
Czech Republic,2018-05-15,32.94
Denmark,2018-05-15,18.84
France,2018-05-15,17.5
Germany,2018-05-15,28.28
Hungary,2018-05-15,29.7
Ireland,2018-05-15,-
Italy,2018-05-15,50.07
Latvia,2018-05-15,12.37
Netherlands,2018-05-15,24.35
Poland,2018-05-15,46.78
Portugal,2018-05-15,55.27
Romania,2018-05-15,26.15
Slovakia,2018-05-15,16.03
Spain,2018-05-15,60.65
Sweden,2018-05-15,7.31
United Kingdom (Pre-Brexit),2018-05-15,15.64
Austria,2018-05-16,26.73
Belgium,2018-05-16,5.48
Bulgaria,2018-05-16,36.06
Croatia,2018-05-16,34.23
Czech Republic,2018-05-16,33.33
Denmark,2018-05-16,19.09
France,2018-05-16,17.97
Germany,2018-05-16,28.7
Hungary,2018-05-16,29.95
Ireland,2018-05-16,-
Italy,2018-05-16,50.58
Latvia,2018-05-16,12.27
Netherlands,2018-05-16,24.82
Poland,2018-05-16,47.14
Portugal,2018-05-16,55.27
Romania,2018-05-16,26.45
Slovakia,2018-05-16,16.38
Spain,2018-05-16,60.69
Sweden,2018-05-16,7.31
United Kingdom (Pre-Brexit),2018-05-16,14.81
Austria,2018-05-17,26.99
Belgium,2018-05-17,6.04
Bulgaria,2018-05-17,36.36
Croatia,2018-05-17,34.53
Czech Republic,2018-05-17,33.73
Denmark,2018-05-17,19.15
France,2018-05-17,18.46
Germany,2018-05-17,29.17
Hungary,2018-05-17,30.2
Ireland,2018-05-17,-
Italy,2018-05-17,51.08
Latvia,2018-05-17,12.27
Netherlands,2018-05-17,25.29
Poland,2018-05-17,47.45
Portugal,2018-05-17,55.27
Romania,2018-05-17,26.74
Slovakia,2018-05-17,16.7
Spain,2018-05-17,60.72
Sweden,2018-05-17,7.31
United Kingdom (Pre-Brexit),2018-05-17,12.46
Austria,2018-05-18,27.27
Belgium,2018-05-18,6.41
Bulgaria,2018-05-18,36.67
Croatia,2018-05-18,34.81
Czech Republic,2018-05-18,34.06
Denmark,2018-05-18,19.23
France,2018-05-18,18.95
Germany,2018-05-18,29.59
Hungary,2018-05-18,30.45
Ireland,2018-05-18,-
Italy,2018-05-18,51.53
Latvia,2018-05-18,12.27
Netherlands,2018-05-18,25.62
Poland,2018-05-18,47.73
Portugal,2018-05-18,55.27
Romania,2018-05-18,27.03
Slovakia,2018-05-18,17.01
Spain,2018-05-18,60.72
Sweden,2018-05-18,7.31
United Kingdom (Pre-Brexit),2018-05-18,10.87
Austria,2018-05-19,27.6
Belgium,2018-05-19,6.76
Bulgaria,2018-05-19,36.97
Croatia,2018-05-19,35.12
Czech Republic,2018-05-19,34.45
Denmark,2018-05-19,19.55
France,2018-05-19,19.6
Germany,2018-05-19,30.01
Hungary,2018-05-19,30.78
Ireland,2018-05-19,-
Italy,2018-05-19,52.13
Latvia,2018-05-19,12.27
Netherlands,2018-05-19,25.99
Poland,2018-05-19,48.03
Portugal,2018-05-19,55.27
Romania,2018-05-19,27.38
Slovakia,2018-05-19,17.43
Spain,2018-05-19,60.73
Sweden,2018-05-19,7.31
United Kingdom (Pre-Brexit),2018-05-19,12.38
Austria,2018-05-20,27.98
Belgium,2018-05-20,7.18
Bulgaria,2018-05-20,37.27
Croatia,2018-05-20,35.46
Czech Republic,2018-05-20,34.83
Denmark,2018-05-20,19.87
France,2018-05-20,20.32
Germany,2018-05-20,30.52
Hungary,2018-05-20,31.12
Ireland,2018-05-20,-
Italy,2018-05-20,52.72
Latvia,2018-05-20,12.27
Netherlands,2018-05-20,26.48
Poland,2018-05-20,48.38
Portugal,2018-05-20,55.27
Romania,2018-05-20,27.75
Slovakia,2018-05-20,17.88
Spain,2018-05-20,60.74
Sweden,2018-05-20,7.31
United Kingdom (Pre-Brexit),2018-05-20,13.12
Austria,2018-05-21,28.47
Belgium,2018-05-21,7.69
Bulgaria,2018-05-21,37.57
Croatia,2018-05-21,35.79
Czech Republic,2018-05-21,35.2
Denmark,2018-05-21,20.25
France,2018-05-21,21.01
Germany,2018-05-21,31.08
Hungary,2018-05-21,31.44
Ireland,2018-05-21,-
Italy,2018-05-21,53.13
Latvia,2018-05-21,12.18
Netherlands,2018-05-21,26.98
Poland,2018-05-21,48.74
Portugal,2018-05-21,53.52
Romania,2018-05-21,28.02
Slovakia,2018-05-21,18.34
Spain,2018-05-21,60.74
Sweden,2018-05-21,7.31
United Kingdom (Pre-Brexit),2018-05-21,15.55
Austria,2018-05-22,28.81
Belgium,2018-05-22,8.22
Bulgaria,2018-05-22,37.78
Croatia,2018-05-22,36.1
Czech Republic,2018-05-22,35.59
Denmark,2018-05-22,20.55
France,2018-05-22,21.54
Germany,2018-05-22,31.65
Hungary,2018-05-22,31.76
Ireland,2018-05-22,-
Italy,2018-05-22,53.46
Latvia,2018-05-22,12.07
Netherlands,2018-05-22,27.45
Poland,2018-05-22,49.06
Portugal,2018-05-22,53.52
Romania,2018-05-22,25.62
Slovakia,2018-05-22,18.81
Spain,2018-05-22,60.75
Sweden,2018-05-22,7.31
United Kingdom (Pre-Brexit),2018-05-22,16.41
Austria,2018-05-23,29.2
Belgium,2018-05-23,8.75
Bulgaria,2018-05-23,38.08
Croatia,2018-05-23,36.4
Czech Republic,2018-05-23,35.97
Denmark,2018-05-23,20.97
France,2018-05-23,21.92
Germany,2018-05-23,32.17
Hungary,2018-05-23,32.07
Ireland,2018-05-23,-
Italy,2018-05-23,53.77
Latvia,2018-05-23,11.98
Netherlands,2018-05-23,27.83
Poland,2018-05-23,49.37
Portugal,2018-05-23,53.52
Romania,2018-05-23,25.86
Slovakia,2018-05-23,19.26
Spain,2018-05-23,60.75
Sweden,2018-05-23,7.31
United Kingdom (Pre-Brexit),2018-05-23,19.27
Austria,2018-05-24,29.59
Belgium,2018-05-24,9.32
Bulgaria,2018-05-24,38.38
Croatia,2018-05-24,36.76
Czech Republic,2018-05-24,36.37
Denmark,2018-05-24,21.37
France,2018-05-24,22.23
Germany,2018-05-24,32.56
Hungary,2018-05-24,32.39
Ireland,2018-05-24,-
Italy,2018-05-24,54.17
Latvia,2018-05-24,11.97
Netherlands,2018-05-24,28.11
Poland,2018-05-24,49.73
Portugal,2018-05-24,53.52
Romania,2018-05-24,28.82
Slovakia,2018-05-24,19.73
Spain,2018-05-24,60.77
Sweden,2018-05-24,7.31
